radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,260,43906,25940738,-1,-87.0484,36.0904,4859,26,1,1693288950,1781813642,0
LTE,310,260,44029,29507843,-1,-86.9699,36.0736,5542,37,1,1693289320,1788291483,0
LTE,310,260,44029,29507841,-1,-86.9485,36.0877,3076,34,1,1693289390,1788291483,0
LTE,310,260,43906,9697283,-1,-86.8519,36.1527,2907,19,1,1693289750,1767442805,0
LTE,310,260,43906,26579201,-1,-86.8511,36.1522,8988,32,1,1693289780,1788291483,0
LTE,310,260,43906,26579202,-1,-86.8457,36.1533,1000,8,1,1693289840,1759893241,0
LTE,310,260,43906,9966081,-1,-86.8008,36.176,695,29,1,1693290040,1767442805,0
LTE,310,260,43907,105750275,-1,-86.69,36.4718,1071,25,1,1693291390,1767876182,0
LTE,310,260,43907,105750274,-1,-86.675,36.4702,1162,26,1,1693291450,1768920605,0
LTE,310,260,43907,105750273,-1,-86.6725,36.4867,4196,24,1,1693291470,1768402682,0
LTE,310,260,43777,7310849,-1,-86.6155,36.5634,1767,25,1,1693291840,1768920605,0
LTE,310,260,43907,98457603,-1,-86.5952,36.5853,2260,48,1,1693291930,1768403521,0
LTE,310,260,43907,98457602,-1,-86.575,36.5884,3862,28,1,1693292060,1768403522,0
LTE,310,410,9108,42284561,-1,-85.1807,35.2483,7598,25,1,1693649864,1782090849,0
LTE,310,410,9108,42283445,-1,-85.1611,35.3112,1262,28,1,1693649884,1747012386,0
LTE,310,410,9108,43052716,-1,-85.1819,35.2375,6045,23,1,1693650394,1782322921,0
LTE,310,410,9108,42354605,-1,-85.2538,35.1981,2392,27,1,1693650404,1747001882,0
LTE,310,410,9101,42251691,-1,-85.2466,35.1835,1532,50,1,1693650444,1782090846,0
LTE,310,410,9101,42260141,-1,-85.2484,35.1602,1066,21,1,1693650614,1747001883,0
LTE,310,410,9101,42275499,-1,-85.2485,35.1545,1589,11,1,1693650624,1747001883,0
LTE,310,410,9101,42260140,-1,-85.2493,35.1478,580,30,1,1693650734,1747001883,0
LTE,310,410,9101,42275501,-1,-85.247,35.1362,1000,13,1,1693651284,1747001883,0
LTE,310,260,32827,18916609,-1,-88.8136,35.5667,1733,50,1,1694196362,1749353232,0
LTE,310,260,32827,18916610,-1,-88.796,35.5424,2579,49,1,1694196682,1749353232,0
LTE,310,260,32827,43515395,-1,-88.717,35.4846,9712,50,1,1694196902,1749353230,0
LTE,310,260,32770,41444099,-1,-88.7061,35.481,8217,32,1,1694196912,1749353231,0
LTE,310,260,32770,41444353,-1,-88.7278,35.4954,1168,50,1,1694197082,1749353231,0
LTE,310,260,32770,41444354,-1,-88.7164,35.4879,1065,21,1,1694197142,1749353231,0
